# code: id
# key, value

language_name,Bahasa Indonesia
add_traces_for_hold,Tambahkan Trace untuk Hold
convert_hold_to_traces,Ubah Hold ke Trace
convert_guide_hold,Ubah Hold-Guide
convert_guide_to_hold,Ubah Guide menjadi Hold
convert_hold_to_guide,Ubah Hold menjadi Guide
convert_hold_to_none,Ubah Hold menjadi Tidak Ada
lerp_hispeeds,Interpolasi Hi-Speed
step_type,Jenis Hold Mid
step_alpha,Opasitas Langkah
ease_type,Jenis Ease
flick_type,Jenis Flick
hold_type,Jenis Hold
fade_type,Jenis Fade
hold_start_type,Jenis Awal Hold
hold_end_type,Jenis Akhir Hold
metadata,Metadata
title,Judul
designer,Perancang
artist,Artis
jacket,Sampul
lane_extension,Ekstensi Jalur
life_point,Poin Nyawa
audio,Audio
music_file,Berkas Musik
music_offset,Ofset Musik
volume_master,Volume Master
volume_bgm,Volume BGM
volume_se,Volume SE
playback_speed,Kecepatan Putar
statistics,Statistik
hispeeds,Hi-Speed
taps,Tap
flicks,Flick
holds,Hold
steps,Hold Mid
guides,Guide
traces,Trace
total,Total
combo,Kombo
goto_measure,Lompat ke Birama
division,%d Pembagian
division_affix,%d Pembagian
custom,Kustom
custom_division,Pembagian Kustom
snap_mode,Snapping
snap_mode_relative,Snap Relatif
snap_mode_absolute,Snap Absolut
snap_mode_individual_absolute,Snap Absolut Individu
zoom,Zoom
zoom_sensitivity,Sensitivitas Zoom
show_step_outlines,Tampilkan Garis Luar Hold Mid
hide_step_outlines_during_playback,Sembunyikan Garis Luar Langkah Saat Putar
draw_waveform,Tampilkan Waveform
stop_playback_at_music_end,Hentikan Putar Saat Musik Selesai
edit_bpm,Sunting Tempo
tick,Tick
remove,Hapus
edit_time_signature,Sunting Tanda Birama
measure,Birama
skill,Skill
skill_effect,Efek Skill
skill_effect_score,Efek Skill: Skor
skill_effect_heal,Efek Skill: Pemulihan
skill_effect_perfect,Efek Skill: Penyempurna
skill_level,Tingkat Skill
increase_note_size,Perbesar Ukuran Note
decrease_note_size,Perkecil Ukuran Note
hi_speed,Hi-Speed
edit_hi_speed,Sunting Hi-Speed
hi_speed_speed,Kecepatan
hi_speed_skip_beat,Lewati
hi_speed_ease,Ease
hi_speed_ease_none,Tidak Ada
hi_speed_ease_linear,Linear
hi_speed_hide_notes,Sembunyikan Note
fade_none,Tanpa Fade
fade_in,Fade In
fade_out,Fade Out
fade_custom,Fade Kustom
fade_classic,Fade Klasisk
guide_color,Warna Guide
guide_neutral,Netral
guide_red,Merah
guide_blue,Biru
guide_green,Hijau
guide_yellow,Kuning
guide_purple,Ungu
guide_cyan,Sian
guide_black,Hitam
layer,Lapisan
edit_skill,Sunting Pemicu Skill
edit_fever,Sunting Pemicu FEVER
edit_none,Sunting
edit_event,Sunting Event
beat,Ketukan
lane,Jalur
width,Lebar
advanced,Lanjutan
note_properties_note,Properti Note
note_properties_hi_speed,Properti Hi-Speed
note_properties_hold_note,Properti Hold Note
note_properties_guide,Properti Guide
note_properties_not_selected,Tidak ada note atau hi-speed yang dipilih
note_properties_many_hold_notes,Lebih dari satu hold note terpilih
note_properties_mixed_value,Properti Note: Nilai Campuran
translated_by,Diterjemahkan oleh
zoom_tooltip,Ctrl+klik untuk menyunting nilai
timeline_context_not_selected,Klik kanan pada lini masa untuk menambahkan elemen
extended_score,Skor Ekstensi
note_select_tool_tip,Klik dan seret untuk memilih note

# preset manager
presets,Preset
no_presets,Tidak ada preset yang tersedia
preset_name,Nama
description,Deskripsi
create_preset,Buat Preset
search,Cari...
confirm,Konfirmasi

# layer manager
layers,Lapisan
layer_name,Nama
layer_force_note_speed,Paksa Kecepatan Note Lapisan
create_layer,Buat Lapisan
show_all_layers,Tampilkan Semua Lapisan
layer_rename,Ubah Nama Lapisan
layer_up,Pindahkan ke Atas
layer_down,Pindahkan ke Bawah
layer_merge,Gabungkan Lapisan
layer_delete,Hapus Lapisan
layer_hide,Sembunyikan Lapisan
layer_show,Tampilkan Lapisan
layer_change_order,Ubah Urutan Lapisan
layer_order_tooltip,Seret untuk mengatur ulang urutan lapisan
layer_merge_warning,Apakah Anda yakin ingin menggabungkan lapisan ini?
layer_merge_confirm,Gabungkan Lapisan
layer_merge_msg,Apakah Anda ingin menggabungkan lapisan ini dengan lapisan di bawahnya?
layer_delete_confirm,Hapus Lapisan
layer_delete_msg1,Apakah Anda yakin ingin menghapus lapisan ini?
layer_delete_msg2,Semua note di dalamnya juga akan ikut dihapus.
Tindakan ini tidak dapat dibatalkan.,Tindakan ini tidak dapat dibatalkan.

# waypoint manager
waypoints,Waypoint
create_waypoint,Buat Waypoint
edit_waypoint,Sunting Waypoint
waypoint_name,Nama
insert_skill,Sisipkan Skill
set_fever_start,Atur Awal Fever
set_fever_end,Atur Akhir Fever

# commands
action,Tindakan
keys,Tombol
add,Tambah
cmd_key_listen,Menunggu masukan...
new_chart,Chart Baru
toggle_playback,Putar / Jeda
cancel_paste,Batalkan Tempel
stop,Berhenti
previous_tick,Tick Sebelumnya
next_tick,Tick Berikutnya
timeline_select,Lini Masa - Pilih
timeline_tap,Lini Masa - Sisipkan Tap
timeline_hold,Lini Masa - Sisipkan Hold
timeline_hold_step,Lini Masa - Sisipkan Hold Mid
timeline_flick,Lini Masa - Sisipkan Flick
timeline_critical,Lini Masa - Sisipkan Critical
timeline_trace,Lini Masa - Sisipkan Trace
timeline_guide,Lini Masa - Sisipkan Guide
timeline_damage,Lini Masa - Sisipkan Damage
timeline_dummy,Lini Masa - Sisipkan Fake
timeline_bpm,Lini Masa - Sisipkan BPM
timeline_time_signature,Lini Masa - Sisipkan Tanda Birama
timeline_hi_speed,Lini Masa - Sisipkan Perubahan Hi-Speed
zoom_in,Perbesar
zoom_out,Perkecil

# プレビュー・キーコンフィグ関連
preview,Pratinjau
score_preview,Pratinjau Skor
notes_speed,Kecepatan Note
mirror_score,Skor Cermin (Mirror)
preview_draw_toolbar,Tampilkan Toolbar Pratinjau
stage_opacity,Opasitas Panggung
stage_cover,Penutup Panggung (Vertikal)
flicks_animation,Animasi Flick
holds_animation,Animasi Hold
simultaneous_lines,Garis Simultan
holds_alpha,Opasitas Hold
guides_alpha,Opasitas Guide
sort_asc,Urutkan Naik
sort_desc,Urutkan Turun
new_waypoint,Waypoint Baru
name,Nama
time,Durasi

# Gallery
gallery_all,Semua
gallery_recent,Terbaru
gallery_favorites,Favorit
gallery_team_projects,Proyek Tim
gallery_personal,Pribadi
gallery_no_charts,Chart tidak ditemukan.
gallery_file,Nama Berkas
gallery_format,Format
gallery_title,Judul
gallery_artist,Artis
gallery_author,Pembuat Chart
gallery_time,Durasi
gallery_combo,Kombo
gallery_move_to_folder,Pindahkan ke Folder
gallery_uncategorized,- (Tanpa Kategori)
gallery_create_new_chart,Buat Chart Baru
gallery_recent_charts,Chart Terbaru
gallery_more,Lebih Banyak
gallery_all_charts,Semua Chart di PC
gallery_add_path,Tambah Jalur:
gallery_search_paths,Jalur Pencarian
gallery_rescan_paths,Pindai Ulang Jalur
gallery_browse_folder,Telusuri Folder
gallery_path_input_hint,Masukkan jalur folder lalu tekan Enter
gallery_folder_dialog_open,Pemilih folder sedang terbuka...
gallery_invalid_search_path,Jalur tidak ada atau bukan merupakan folder.
gallery_start_scan,Pindai Jalur
gallery_delete_file,Hapus Berkas
gallery_delete_confirm,Apakah Anda yakin ingin menghapus berkas ini secara permanen?
gallery_type_file,Jenis: Berkas %s
gallery_type_unknown,Jenis: Berkas Tidak Diketahui
gallery_size_kb,Ukuran: %llu KB
gallery_original_location,Lokasi Asli: %s
gallery_yes_y,Ya
gallery_no_n,Tidak
gallery_show_search_paths,Tampilkan Jalur
gallery_hide_search_paths,Sembunyikan Jalur
gallery_search,Cari
gallery_sort,Urutkan
gallery_created,Dibuat
gallery_name_sort,Nama
gallery_sort_ascending,Naik
gallery_sort_descending,Turun
gallery_modified,Diubah
gallery_return_to_editor,Kembali ke Editor
