# code: es
# key, value

# translation by ruii (@mi.honesta.reaccion)

language_name, Español
guide_purple, Morado
guide_cyan, Celeste
guide_black, Negro
layer, Capa
edit_skill, Editar Trigger de Habilidad
edit_fever,　Editar Trigger de Fiebre
edit_none,　Editar
edit_event,　Editar evento
beat, Tiempo
lane, Posición
width, Ancho
advanced, Avanzado
note_properties_note, Propiedades de la nota
note_properties_hi_speed, Propiedades de Hi-speed
note_properties_hold_note, Propiedades de Hold
note_properties_guide, Propiedades de Guide
note_properties_not_selected, No hay notas o hi-speeds seleccionadas
#- note_properties_mixed_value,
#- translated_by,
#- zoom_tooltip,
#- timeline_context_not_selected,
#- extended_score,
#- note_select_tool_tip,

# preset manager / editor de presets
presets, Presets
no_presets, No hay presets registrados.
preset_name, Nombre
description, Descripción
create_preset, Crear preset
search, Buscar...
confirm, Confirmar

# layer manager / editor de capas
layers, Capas
layer_name, Nombre
create_layer, Crear capa
show_all_layers, Mostrar todas las capas
layer_rename, Renombrar capa
layer_up, Mover hacia arriba
layer_down, Mover hacia abajo
layer_merge, Mezclar capa
layer_delete, Eliminar capa
#- layer_hide,
#- layer_show,
#- layer_change_order,
#- layer_order_tooltip,
#- layer_merge_warning,

# waypoint manager / editor de marcadores
waypoints, Marcadores
create_waypoint, Crear marcador
edit_waypoint, Editar marcador
waypoint_name, Nombre
#- insert_skill,
#- set_fever_start,
#- set_fever_end,

# commands / comandos
action, Acción
keys, Teclas
add, Agregar
cmd_key_listen, Esperando entrada...
new_chart, Nueva partitura
toggle_playback, Pausar / Resumir
cancel_paste, Cancelar pegado
stop, Detener
previous_tick, Anterior tick
next_tick, Siguiente tick
timeline_select, Timeline - Seleccionar
timeline_tap, Timeline - Tap
timeline_hold, Timeline - Hold
timeline_hold_step, Timeline - Hold-step
timeline_flick, Timeline - Flick
timeline_critical, Timeline - Critical
timeline_trace, Timeline - Trace
timeline_guide, Timeline - Guide
timeline_damage, Timeline - Insertar Damage
timeline_dummy, Timeline - Insertar Fake
timeline_bpm, Timeline - Insertar BPM
timeline_time_signature, Timeline - Insertar Signatura de Compás
timeline_hi_speed, Timeline - Insertar Cambio de Hi-speed
zoom_in, Acercar
zoom_out, Alejar
