# code: tr
# key, value

language_name, Turkish
music_offset, Müzik Kaydirma
volume_master, Ana Ses
volume_bgm, BGM Ses
volume_se, SE Ses
#- playback_speed,
statistics, Istatistikler
#- hispeeds,
taps, Dokunuslar
flicks, Firlatmalar
holds, Basili Tutmalar
steps, Basili Tutma Ortalari
#- guides,
traces, Izler
total, Toplam
combo, Kombinasyon
goto_measure, Ölçüye Git
division, %d Bölüm
division_affix, %d Bölüm
custom, Özellestir
snap_mode, Snap
snap_mode_relative, Göreceli Snap
snap_mode_absolute, Mutlak Snap
snap_mode_individual_absolute, Bireysel Mutlak Snap
zoom, Yakinlastir
#- zoom_sensitivity,
show_step_outlines, Basili Tutma Ortasi Çizgilerini Göster
#- hide_step_outlines_during_playback,
draw_waveform, Dalga Formunu Göster
#- stop_playback_at_music_end,
edit_bpm, BPM'i Düzenle
tick, Tik
remove, Kaldir
edit_time_signature, Zaman Imzasini Düzenle
measure, Ölçü
skill, Beceri
#- skill_effect,
#- skill_effect_score,
#- skill_effect_heal,
#- skill_effect_perfect,
#- skill_level,
increase_note_size, Nota Boyutunu Artir
decrease_note_size, Nota Boyutunu Azalt
hi_speed, Hi-Speed
edit_hi_speed, Hi-Speed Düzenle
hi_speed_speed, Hiz
#- hi_speed_skip_beat,
#- hi_speed_ease,
#- hi_speed_ease_none,
#- hi_speed_ease_linear,
#- hi_speed_hide_notes,
fade_none, Solma Yok
fade_in, Solmaya Basla
fade_out, Solmayi Bitir
#- fade_custom,
#- fade_classic,
guide_color, Kilavuz Rengi
guide_neutral, Nötr
guide_red, Kirmizi
guide_blue, Mavi
guide_green, Yesil
guide_yellow, Sari
guide_purple, Mor
guide_cyan, Camgöbegi
guide_black, Siyah
layer, Katman
edit_skill, Beceri Tetikleyicisini Düzenle
edit_fever, FEVER Tetikleyicisini Düzenle
edit_none, Düzenle
edit_event, Olayi Düzenle
beat, Vurus
lane, Yol
width, Genislik
advanced, Gelismis
note_properties_note, Nota Özellikleri
note_properties_hi_speed, Hi-Speed Özellikleri
note_properties_hold_note, Basili Tutma Nota Özellikleri
note_properties_guide, Kilavuz Özellikleri
note_properties_not_selected, Hi-Speed'ler veya notalar seçilmedi
#- note_properties_mixed_value,
translated_by, Çeviren: %s
zoom_tooltip, Ctrl-tiklayarak degeri düzenleyin
#- timeline_context_not_selected,
#- extended_score,
#- note_select_tool_tip,

# preset manager
presets, Ön Ayarlar
no_presets, Ön ayar mevcut degil
preset_name, Isim
description, Açiklama
create_preset, Ön Ayar Olustur
search, Ara...
confirm, Onayla

# layer manager
layers, Katmanlar
layer_name, Isim
#- layer_force_note_speed,
create_layer, Katman Olustur
show_all_layers, Tüm Katmanlari Göster
layer_rename, Katmani Yeniden Adlandir
layer_up, Yukari Tasi
layer_down, Asagi Tasi
layer_merge, Katmani Birlestir
layer_delete, Katmani Sil
layer_hide, Katmani Gizle
layer_show, Katmani Göster
#- layer_change_order,
#- layer_order_tooltip,
#- layer_merge_warning,

# waypoint manager
waypoints, Noktalar
create_waypoint, Nokta Olustur
edit_waypoint, Noktayi Düzenle
waypoint_name, Isim
#- insert_skill,
#- set_fever_start,
#- set_fever_end,

# commands
action, Eylem
keys, Tuslar
add, Ekle
cmd_key_listen, Girdi bekleniyor...
new_chart, Yeni Grafik
toggle_playback, Oynat / Duraklat
cancel_paste, Yapistirmayi Iptal Et
stop, Durdur
previous_tick, Önceki Tik
next_tick, Sonraki Tik
timeline_select, Zaman Çizelgesi - Seç
timeline_tap, Zaman Çizelgesi - Dokunus Ekle
timeline_hold, Zaman Çizelgesi - Basili Tut Ekle
timeline_hold_step, Zaman Çizelgesi - Basili Tut Orta Ekle
timeline_flick, Zaman Çizelgesi - Firlatma Ekle
timeline_critical, Zaman Çizelgesi - Kritik Ekle
timeline_trace, Zaman Çizelgesi - Iz Ekle
timeline_guide, Zaman Çizelgesi - Kilavuz Ekle
timeline_damage, Zaman Çizelgesi - Hasar Ekle
#- timeline_dummy,
timeline_bpm, Zaman Çizelgesi - BPM Ekle
timeline_time_signature, Zaman Çizelgesi - Zaman Imzasi Ekle
timeline_hi_speed, Zaman Çizelgesi - Hi-Speed Degisikligi Ekle
zoom_in, Yakinlastir
zoom_out, Uzaklastir
